"Airline","Origin_Airport","Destination_Airport"
"NK","ORD","LAS"
"OO","ORD","DCA"
"UA","ORD","TPA"
"UA","ORD","LAX"
"AS","ORD","SEA"
"F9","ORD","PHX"
"NK","ORD","MSY"
"VX","ORD","SFO"
"MQ","ORD","RST"
"OO","ORD","CHO"
"AA","ORD","TPA"
"MQ","ORD","RIC"
"MQ","ORD","SYR"
"MQ","ORD","LSE"
"MQ","ORD","MDT"
"MQ","ORD","JAX"
"AA","ORD","DCA"
"AA","ORD","LGA"
"MQ","ORD","TOL"
"NK","ORD","IAH"
"MQ","ORD","FNT"
"MQ","ORD","DAY"
"MQ","ORD","MEM"
"UA","ORD","DEN"
"EV","ORD","TYS"
"MQ","ORD","TVC"
"UA","ORD","SFO"
"AA","ORD","DFW"
"OO","ORD","MKE"
"MQ","ORD","BNA"
"MQ","ORD","CMI"
"MQ","ORD","MLI"
"MQ","ORD","GRB"
"MQ","ORD","SDF"
"MQ","ORD","BUF"
"MQ","ORD","IND"
"AA","ORD","SJU"
"AA","ORD","RDU"
"UA","ORD","IAD"
"MQ","ORD","GRR"
"MQ","ORD","DTW"
"MQ","ORD","FWA"
"MQ","ORD","PIT"
"UA","ORD","STT"
"EV","ORD","PHL"
"AA","ORD","MCI"
"AA","ORD","LAX"
"MQ","ORD","BMI"
"MQ","ORD","PIA"
"MQ","ORD","CMH"
"OO","ORD","MBS"
"AA","ORD","FLL"
"AA","ORD","PBI"
"MQ","ORD","HPN"
"OO","ORD","MSP"
"AA","ORD","CLT"
"AA","ORD","RSW"
"AA","ORD","STL"
"UA","ORD","LGA"
"EV","ORD","PIA"
"MQ","ORD","EVV"
"NK","ORD","TPA"
"OO","ORD","SPI"
"OO","ORD","MSP"
"OO","ORD","MSY"
"UA","ORD","SAN"
"UA","ORD","SFO"
"EV","ORD","MSN"
"EV","ORD","GRB"
"UA","ORD","EWR"
"EV","ORD","PNS"
"UA","ORD","MCO"
"EV","ORD","MLI"
"EV","ORD","FSD"
"EV","ORD","JAN"
"EV","ORD","OMA"
"MQ","ORD","BWI"
"NK","ORD","MSP"
"OO","ORD","MKE"
"UA","ORD","PHX"
"UA","ORD","IAH"
"EV","ORD","OKC"
"UA","ORD","SLC"
"UA","ORD","LAS"
"UA","ORD","JAC"
"OO","ORD","GJT"
"UA","ORD","SEA"
"OO","ORD","SAT"
"EV","ORD","IND"
"EV","ORD","BTV"
"NK","ORD","DFW"
"UA","ORD","HNL"
"AA","ORD","PHL"
"EV","ORD","CID"
"EV","ORD","DSM"
"UA","ORD","PDX"
"OO","ORD","DFW"
"AA","ORD","MCO"
"UA","ORD","LAX"
"F9","ORD","MCO"
"VX","ORD","LAX"
"UA","ORD","OGG"
"UA","ORD","SJU"
"OO","ORD","TUS"
"UA","ORD","SNA"
"AS","ORD","ANC"
"AA","ORD","PHX"
"B6","ORD","BOS"
"AA","ORD","DEN"
"MQ","ORD","SAT"
"MQ","ORD","DSM"
"MQ","ORD","SGF"
"MQ","ORD","FAR"
"MQ","ORD","TUL"
"OO","ORD","ICT"
"AA","ORD","TUS"
"AA","ORD","LAX"
"MQ","ORD","LIT"
"AA","ORD","DFW"
"MQ","ORD","ELP"
"MQ","ORD","BNA"
"UA","ORD","SFO"
"UA","ORD","DEN"
"AA","ORD","LAS"
"MQ","ORD","CID"
"MQ","ORD","IND"
"MQ","ORD","OMA"
"AA","ORD","BOS"
"AA","ORD","SFO"
"MQ","ORD","PIA"
"MQ","ORD","DTW"
"OO","ORD","MKE"
"AA","ORD","MIA"
"AA","ORD","SLC"
"MQ","ORD","DBQ"
"AA","ORD","LGA"
"MQ","ORD","ABQ"
"MQ","ORD","MSN"
"AA","ORD","EGE"
"MQ","ORD","FSD"
"EV","ORD","AVP"
"MQ","ORD","CVG"
"AA","ORD","DFW"
"NK","ORD","MCO"
"OO","ORD","SLC"
"AA","ORD","CLT"
"OO","ORD","CMX"
"EV","ORD","RIC"
"F9","ORD","LAS"
"OO","ORD","BNA"
"OO","ORD","CVG"
"UA","ORD","RSW"
"UA","ORD","TPA"
"UA","ORD","MIA"
"AA","ORD","PHX"
"UA","ORD","CLE"
"DL","ORD","MSP"
"NK","ORD","SAN"
"AA","ORD","SJC"
"B6","ORD","JFK"
"UA","ORD","FLL"
"OO","ORD","ASE"
"EV","ORD","SDF"
"UA","ORD","LGA"
"UA","ORD","IAH"
"NK","ORD","RSW"
"OO","ORD","MKE"
"UA","ORD","MCO"
"DL","ORD","ATL"
"AA","ORD","AUS"
"OO","ORD","MKE"
"UA","ORD","SRQ"
"MQ","ORD","BWI"
"MQ","ORD","IND"
"MQ","ORD","SYR"
"MQ","ORD","CMI"
"AA","ORD","MIA"
"AA","ORD","SEA"
"MQ","ORD","ROC"
"MQ","ORD","GRB"
"MQ","ORD","CMH"
"AA","ORD","DCA"
"AA","ORD","FLL"
"AA","ORD","BOS"
"MQ","ORD","ASE"
"AA","ORD","DFW"
"AA","ORD","SNA"
"AA","ORD","SAN"
"AA","ORD","LGA"
