"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"B6","SFO","FLL","JFK","2","18","7","18"
"DL","SFO","ATL","JFK","8","22","4","10"
"DL","SFO","ATL","JFK","6","27","-3","-5"
"AA","SFO","PHX","JFK","-4","-18","1","0"
"VX","SFO","LAX","JFK","125","128","3","-9"
"AA","SFO","LAX","JFK","0","-16","-5","0"
"AA","SFO","LAX","JFK","0","-16","10","0"
"AA","SFO","MIA","JFK","45","19","30","37"
"DL","SFO","ATL","JFK","76","82","30","23"
"AA","SFO","PHX","JFK","4","8","-1","3"
"B6","SFO","FLL","JFK","2","27","32","37"
"DL","SFO","ATL","JFK","0","3","20","20"
"AA","SFO","PHX","JFK","3","0","9","11"
"AA","SFO","MIA","JFK","9","4","117","100"
"VX","SFO","LAX","JFK","2","7","12","-1"
"AA","SFO","PHX","JFK","-4","6","3","-12"
"VX","SFO","LAX","JFK","86","78","2","-1"
"AA","SFO","LAX","JFK","-4","-13","7","-4"
"AA","SFO","LAX","JFK","-4","-13","-3","-11"
"VX","SFO","LAX","JFK","57","63","127","140"
"AA","SFO","MIA","JFK","40","24","13","-5"
"AA","SFO","MIA","JFK","40","24","6","-12"
"DL","SFO","ATL","JFK","14","30","-2","-14"
"B6","SFO","FLL","JFK","14","7","-7","-19"
"B6","SFO","FLL","JFK","14","7","-7","-7"
"DL","SFO","ATL","JFK","1","21","-2","-14"
"AA","SFO","MIA","JFK","98","87","-1","-2"
"AA","SFO","PHX","JFK","-3","-15","-1","-16"
"DL","SFO","ATL","JFK","11","19","27","8"
"AA","SFO","MIA","JFK","-1","-16","-5","-18"
"VX","SFO","LAX","JFK","9","4","11","7"
"DL","SFO","ATL","JFK","1","-16","15","7"
"AA","SFO","PHX","JFK","-5","-16","10","-5"
"B6","SFO","FLL","JFK","20","25","-2","-7"
"B6","SFO","FLL","JFK","20","25","5","-7"
"VX","SFO","LAX","JFK","12","9","-3","19"
"VX","SFO","LAX","JFK","12","9","41","31"
"AA","SFO","MIA","JFK","-3","-5","9","9"
"VX","SFO","LAX","JFK","-6","5","-3","19"
"DL","SFO","DTW","JFK","-4","19","217","201"
"AA","SFO","LAX","JFK","74","57","-2","-15"
"AA","SFO","PHX","JFK","16","8","3","-15"
"VX","SFO","LAX","JFK","18","9","18","9"
"VX","SFO","LAX","JFK","-3","-14","18","9"
"AA","SFO","LAX","JFK","-3","-3","-2","-15"
"VX","SFO","LAX","JFK","-6","-9","12","7"
"VX","SFO","LAX","JFK","-6","-9","18","9"
"AA","SFO","LAX","JFK","10","8","-4","-7"
"VX","SFO","LAX","JFK","1","-5","12","7"
"AA","SFO","MIA","JFK","130","120","-1","-14"
"B6","SFO","FLL","JFK","4","5","-6","1"
"B6","SFO","FLL","JFK","4","5","-4","-4"
"DL","SFO","ATL","JFK","159","156","12","-5"
"DL","SFO","ATL","JFK","159","156","114","106"
"DL","SFO","ATL","JFK","7","-7","8","-13"
"AA","SFO","LAX","JFK","-3","-22","-3","-33"
"AA","SFO","MIA","JFK","-2","30","2","-8"
"DL","SFO","ATL","JFK","16","16","13","-5"
"VX","SFO","LAX","JFK","-3","-11","48","16"
"DL","SFO","ATL","JFK","6","-9","13","-5"
"B6","SFO","FLL","JFK","-7","29","11","-5"
"B6","SFO","FLL","JFK","-7","29","226","206"
"VX","SFO","LAX","JFK","2","-8","5","-11"
"DL","SFO","DTW","JFK","3","-11","104","91"
"DL","SFO","ATL","JFK","1","-16","11","-3"
"AA","SFO","PHX","JFK","1","-6","-3","-26"
"AA","SFO","MIA","JFK","-5","12","125","95"
"VX","SFO","LAX","JFK","3","-3","3","-22"
"AA","SFO","LAX","JFK","-4","-2","42","18"
"DL","SFO","ATL","JFK","-5","-10","351","324"
"VX","SFO","LAX","JFK","39","35","14","-9"
"VX","SFO","LAX","JFK","-1","-10","14","-9"
"AA","SFO","LAX","JFK","96","99","-5","2"
"VX","SFO","LAX","JFK","-3","4","31","7"
"AA","SFO","LAX","JFK","-1","34","-5","2"
"VX","SFO","LAX","JFK","11","22","31","7"
"AA","SFO","MIA","JFK","-2","-16","1","4"
"B6","SFO","FLL","JFK","25","30","-4","-14"
"B6","SFO","FLL","JFK","25","30","-5","-16"
"DL","SFO","ATL","JFK","0","-9","14","-3"
"AA","SFO","PHX","JFK","-3","-27","2","-27"
"DL","SFO","ATL","JFK","14","5","58","41"
"AA","SFO","LAX","JFK","-2","-12","3","-36"
"AA","SFO","LAX","JFK","-2","-12","-4","-19"
"AA","SFO","MIA","JFK","-3","-26","3","10"
"VX","SFO","LAX","JFK","-3","-14","4","-23"
"VX","SFO","LAX","JFK","0","-7","4","-23"
"AA","SFO","PHX","JFK","-7","-25","31","15"
"B6","SFO","FLL","JFK","27","22","10","-5"
"B6","SFO","FLL","JFK","27","22","37","30"
"VX","SFO","LAX","JFK","0","-6","3","1"
"DL","SFO","ATL","JFK","3","-32","27","8"
"DL","SFO","ATL","JFK","3","-32","172","148"
"AA","SFO","PHX","JFK","-7","-19","41","4"
"AA","SFO","MIA","JFK","-8","-24","12","-17"
"VX","SFO","LAX","JFK","-3","3","-1","-14"
"AA","SFO","PHX","JFK","48","42","28","-4"
"VX","SFO","LAX","JFK","38","34","16","6"
"VX","SFO","LAX","JFK","26","29","16","6"
"AA","SFO","LAX","JFK","-5","-19","25","-27"
"AA","SFO","LAX","JFK","-5","-19","21","4"
"VX","SFO","LAX","JFK","2","9","26","-10"
"AA","SFO","MIA","JFK","3","-23","-7","-20"
"B6","SFO","FLL","JFK","475","464","17","2"
"B6","SFO","FLL","JFK","475","464","8","-6"
"DL","SFO","ATL","JFK","5","-11","9","-7"
"AA","SFO","PHX","JFK","-6","-17","58","3"
"DL","SFO","ATL","JFK","-2","-26","0","-20"
"AA","SFO","MIA","JFK","-2","-12","-2","-5"
"VX","SFO","LAX","JFK","6","3","-1","-38"
"DL","SFO","ATL","JFK","7","-16","-3","-16"
"DL","SFO","ATL","JFK","-6","-32","-3","-16"
"AA","SFO","PHX","JFK","-4","-2","38","-5"
"B6","SFO","FLL","JFK","-4","-17","6","0"
"B6","SFO","FLL","JFK","-4","-17","57","49"
"VX","SFO","LAX","JFK","-4","-10","-2","-31"
"DL","SFO","ATL","JFK","-4","-30","3","-16"
"AA","SFO","PHX","JFK","-3","-5","1","-41"
"VX","SFO","LAX","JFK","29","22","145","122"
"AA","SFO","LAX","JFK","-7","-23","-5","-15"
"AA","SFO","LAX","JFK","-7","-23","-6","4"
"VX","SFO","LAX","JFK","-5","-1","-5","1"
"AA","SFO","LAX","JFK","-5","-7","3","6"
"AA","SFO","LAX","JFK","-5","-7","-5","-15"
"VX","SFO","LAX","JFK","-1","-6","-5","1"
"B6","SFO","FLL","JFK","13","25","-5","-19"
"DL","SFO","ATL","JFK","12","16","1","-10"
"AA","SFO","PHX","JFK","-7","-18","-3","9"
"DL","SFO","ATL","JFK","0","3","9","-19"
"AA","SFO","MIA","JFK","-1","0","2","-10"
"VX","SFO","LAX","JFK","3","-4","14","15"
"AA","SFO","LAX","JFK","-7","-28","-4","-13"
"DL","SFO","ATL","JFK","-3","1","1","11"
"VX","SFO","LAX","JFK","-4","-10","14","15"
"DL","SFO","ATL","JFK","-2","-6","1","11"
"AA","SFO","PHX","JFK","-6","-6","10","27"
"AA","SFO","LAX","JFK","14","2","-3","-10"
"AA","SFO","LAX","JFK","14","2","22","23"
"VX","SFO","LAX","JFK","-7","-10","-4","5"
"DL","SFO","ATL","JFK","-1","-6","19","1"
"AA","SFO","PHX","JFK","-1","-7","-6","-6"
"VX","SFO","LAX","JFK","-8","-20","-3","20"
"AA","SFO","LAX","JFK","34","36","73","60"
"AA","SFO","LAX","JFK","-3","-5","-9","-20"
"AA","SFO","LAX","JFK","-3","-5","-2","9"
"VX","SFO","LAX","JFK","0","13","-1","0"
"VX","SFO","LAX","JFK","-5","-9","-1","0"
"AA","SFO","LAX","JFK","-5","-13","-6","-2"
"AA","SFO","LAX","JFK","-5","-13","-9","-20"
"AA","SFO","LAX","JFK","-8","-16","-6","-2"
"B6","SFO","FLL","JFK","16","21","-1","-2"
"DL","SFO","ATL","JFK","-3","15","-1","-22"
"AA","SFO","PHX","JFK","-4","-9","-4","-3"
"DL","SFO","ATL","JFK","-3","-13","0","-16"
"AA","SFO","MIA","JFK","-6","-12","14","-12"
"VX","SFO","LAX","JFK","6","-1","-1","-20"
"AA","SFO","LAX","JFK","44","59","-7","-25"
"AA","SFO","LAX","JFK","44","59","34","23"
"DL","SFO","ATL","JFK","0","-13","1","-18"
"VX","SFO","LAX","JFK","-5","0","-1","-20"
"DL","SFO","ATL","JFK","-3","-14","1","-18"
"AA","SFO","PHX","JFK","-12","-19","-1","6"
"AA","SFO","LAX","JFK","-1","10","-8","-18"
"AA","SFO","LAX","JFK","-1","10","-2","-10"
